file,monitor,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light
Monitor14.txt,M14,5,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,6,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,7,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,8,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,9,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,10,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,11,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,12,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,13,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,14,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,15,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,16,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,17,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,18,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,19,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,20,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,21,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,22,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,23,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,24,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,25,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,26,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,27,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,28,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,29,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,30,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,31,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,32,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor7.txt,M7,1,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L1-2,21.5C,Iso,5D,12:12
Monitor7.txt,M7,2,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L1-2,21.5C,Iso,5D,12:12
